issue_id,issue_kind,title,department,area,sixs_pillar,category,risk_probability,risk_consequence,risk_score,risk_level,status,approval_status,deadline,owner,reporter,description,current_control,proposed_action,chart_tag
MOCK-WARN-001,hot_issue,"Dây đeo thẻ gần cơ cấu quay tại máy Namashi",production,"PY2 - MS1 Namashi",S6,"An toàn máy",5,4,20,"Cực kỳ nghiêm trọng","Mở","Đã duyệt",2026-06-05,"Line Leader MS1","Auditor 6S","Công nhân vận hành còn đeo dây thẻ dạng cổ khi đứng gần trục quay và pulley hở.","Đã nhắc miệng trong ca nhưng chưa có quy định trực quan tại máy.","Ban hành quy định dây thẻ ngắn hoặc kẹp áo, dán cảnh báo tại máy, xác nhận lại trong họp đầu ca.","machine_safety"
MOCK-WARN-002,hot_issue,"Pallet che khuất tủ PCCC và bình chữa cháy",warehouse,"Kho nguyên vật liệu - cửa D2",S6,"PCCC",4,4,16,"Cực kỳ nghiêm trọng","Đang xử lý","Đã duyệt",2026-06-06,"Warehouse Supervisor","EHS Officer","Một cụm pallet rỗng đặt sát tủ PCCC, giảm khả năng tiếp cận khi có báo cháy.","Có vạch đỏ nhưng bị mờ và thiếu biển không che chắn.","Sơn lại vùng cấm, dán biển, kiểm tra cuối mỗi ca và đưa vào checklist kho.","fire_safety"
MOCK-WARN-003,hot_issue,"Tủ điện CR3 thiếu nắp che và hướng dẫn tiếng Việt",engineering,"CR3 - cạnh thang hàng",S6,"Điện",4,5,20,"Cực kỳ nghiêm trọng","Mở","Đã duyệt",2026-06-10,"Maintenance Lead","EHS Officer","Tủ điện cạnh thang hàng có điểm đấu nối chưa che kín và thiếu hướng dẫn thao tác an toàn bằng tiếng Việt.","Có khóa tủ nhưng tem cảnh báo đã bong và chưa có hướng dẫn xử lý bất thường.","Bổ sung nắp che, tem cảnh báo, hướng dẫn tiếng Việt và xác nhận ảnh sau cải tiến.","electrical"
MOCK-WARN-004,hot_issue,"Dầu rò tại lối đi cạnh máy ép",production,"PY1 - line ép nhựa",S3,"Trượt ngã",4,4,16,"Cực kỳ nghiêm trọng","Đang xử lý","Đã duyệt",2026-06-08,"Production Supervisor","Auditor 6S","Dầu thủy lực rò ra mép lối đi, có dấu chân kéo dài sang vùng thao tác.","Đã đặt khăn thấm tạm thời nhưng chưa sửa nguyên nhân rò.","Cô lập khu vực, sửa điểm rò, vệ sinh sàn và thêm kiểm tra đầu ca trong 7 ngày.","slip_trip"
MOCK-WARN-005,hot_issue,"Chai hóa chất kiểm tra thiếu nhãn phụ và SDS tại điểm dùng",quality,"QA Lab - bàn kiểm tra hóa chất",S1,"Hóa chất",3,5,15,"Nghiêm trọng","Mở","Chờ duyệt",2026-06-07,"QA Supervisor","QA Auditor","Một số chai chiết nhỏ chỉ ghi mã viết tay, thiếu tên hóa chất, nồng độ và tham chiếu SDS.","SDS bản tổng có trong thư mục chung nhưng không có tại điểm dùng.","Chuẩn hóa nhãn phụ, đặt QR SDS tại bàn, kiểm kê chai chiết cuối ngày.","chemical"
MOCK-WARN-006,hot_issue,"Lối thoát hiểm văn phòng bị thùng tài liệu chắn một phần",office,"Office - cửa thoát hiểm phía Tây",S2,"Thoát hiểm",3,4,12,"Nghiêm trọng","Mở","Đã duyệt",2026-06-06,"Admin","EHS Patrol","Thùng tài liệu cũ đặt sát lối thoát hiểm, làm hẹp bề rộng di chuyển.","Có biển exit nhưng không có vùng cấm để đồ.","Di chuyển tài liệu, kẻ vùng cấm, giao Admin kiểm tra mỗi chiều thứ Sáu.","emergency_exit"
MOCK-WARN-007,issue,"Pallet hư hỏng vẫn dùng tại tuyến xe nâng",warehouse,"Kho thành phẩm - lane F3",S1,"Vật tư hỏng",3,4,12,"Nghiêm trọng","Mở","Đã duyệt",2026-06-12,"Warehouse Leader","Forklift Driver","Pallet nứt cạnh vẫn được sử dụng để xếp hàng, có nguy cơ đổ hàng khi xe nâng quay đầu.","Chưa có khu cách ly pallet hỏng rõ ràng.","Lập vị trí cách ly pallet hỏng, dán nhãn đỏ và ghi nhận trong bàn giao ca.","forklift"
MOCK-WARN-008,issue,"Cạnh jig sắc chưa có bảo vệ tay",production,"Line kiểm tra ngoại quan",S6,"Kẹp/cắt tay",3,3,9,"Nghiêm trọng","Đang xử lý","Đã duyệt",2026-06-14,"Line Leader QA","Operator","Cạnh jig kiểm tra có ba via, người thao tác phải đưa tay sát cạnh sắc.","Có găng tay nhưng chưa xử lý vật lý tại jig.","Mài cạnh, bọc nẹp bảo vệ và cập nhật tiêu chuẩn kiểm jig sau sửa chữa.","hand_injury"
MOCK-WARN-009,hot_issue,"Không khóa nguồn khi vệ sinh cảm biến trong máy",engineering,"PY1 - cell đóng gói",S6,"LOTO",4,5,20,"Cực kỳ nghiêm trọng","Mở","Đã duyệt",2026-06-09,"Maintenance Lead","EHS Patrol","Kỹ thuật viên vệ sinh cảm biến khi máy ở chế độ chờ, chưa treo thẻ LOTO.","Có nút dừng khẩn nhưng chưa có checklist thao tác bảo trì ngắn.","Dừng vận hành để đào tạo lại LOTO, bổ sung mini checklist trước vệ sinh cảm biến.","loto"
MOCK-WARN-010,issue,"Nhãn FIFO không đồng nhất giữa thẻ kệ và tem thùng",warehouse,"Kho WIP - rack B",S2,"FIFO",3,2,6,"Trung bình","Hoàn thành","Đã duyệt",2026-05-31,"Warehouse Supervisor","Inventory Staff","Một số kệ WIP có thẻ vị trí cũ, tem thùng mới không khớp thứ tự xuất.","Có kiểm kê tuần nhưng chưa kiểm tra sau đổi layout.","Cập nhật thẻ kệ, khóa layout trên sơ đồ kho và audit FIFO 2 lần/tuần.","fifo"
