period,department,safety_score,sixs_completion_rate,open_warnings,overdue_warnings,incidents,near_miss_count,training_rate,action_completion_rate
2026-01,production,82,76,3,1,1,2,82,70
2026-01,warehouse,78,72,4,1,0,2,78,64
2026-01,engineering,88,84,2,0,0,1,86,78
2026-01,quality,90,86,1,0,0,1,88,82
2026-01,office,86,82,1,0,0,0,84,78
2026-01,ehs,92,88,1,0,0,0,90,86
2026-02,production,83,78,3,1,0,2,84,72
2026-02,warehouse,80,74,4,2,0,3,80,66
2026-02,engineering,89,85,2,0,0,1,88,80
2026-02,quality,91,87,1,0,0,1,89,84
2026-02,office,87,83,1,0,0,0,85,80
2026-02,ehs,93,89,1,0,0,0,91,88
2026-03,production,85,79,3,1,0,2,86,74
2026-03,warehouse,79,73,5,2,0,3,82,65
2026-03,engineering,90,87,2,0,0,1,90,82
2026-03,quality,92,88,2,0,1,1,91,86
2026-03,office,88,84,1,0,0,0,87,82
2026-03,ehs,94,90,1,0,0,0,92,90
2026-04,production,84,77,4,2,1,3,88,72
2026-04,warehouse,81,76,4,1,0,2,84,68
2026-04,engineering,91,88,2,0,0,1,92,84
2026-04,quality,93,90,1,0,0,1,92,88
2026-04,office,88,84,2,0,0,0,88,82
2026-04,ehs,95,91,1,0,0,0,94,91
2026-05,production,86,80,5,2,1,3,90,76
2026-05,warehouse,82,78,4,1,0,2,86,70
2026-05,engineering,90,87,3,1,1,2,94,82
2026-05,quality,94,91,2,0,0,1,93,90
2026-05,office,89,85,2,0,0,0,90,84
2026-05,ehs,95,92,2,0,0,0,96,92
2026-06,production,87,82,6,3,0,3,92,78
2026-06,warehouse,84,80,5,2,1,3,88,72
2026-06,engineering,92,90,4,1,0,2,96,86
2026-06,quality,94,91,2,1,1,1,94,90
2026-06,office,90,86,2,1,0,0,91,86
2026-06,ehs,96,94,2,0,0,0,98,94

